1/1/2018,UA,677,EWR,SAN,1950,46,2258,20,322,2425,20,0,0,0,0
1/1/2018,UA,665,SAT,IAH,953,-5,1055,18,36,191,0,0,18,0,0
1/1/2018,UA,662,SAN,SFO,735,-4,918,37,68,447,0,0,37,0,0
1/1/2018,UA,660,LAX,ORD,2320,41,516,38,205,1744,38,0,0,0,0
1/1/2018,UA,653,SFO,LAX,1152,36,1332,17,51,337,17,0,0,0,0
1/1/2018,UA,644,IAD,SFO,1448,113,1757,98,326,2419,98,0,0,0,0
1/1/2018,UA,638,IAH,ORD,735,181,1016,167,120,925,167,0,0,0,0
1/1/2018,UA,635,ORD,SEA,915,37,1150,32,233,1721,0,32,0,0,0
1/1/2018,UA,631,SFO,SNA,1041,209,1221,187,63,372,0,0,0,0,187
1/1/2018,UA,624,ORD,DCA,1806,13,2100,15,79,612,0,0,15,0,0
1/1/2018,UA,619,SEA,ORD,2300,22,456,16,211,1721,0,0,0,0,16
1/1/2018,UA,614,IAD,EWR,1241,44,1406,20,42,212,0,0,3,0,17
1/1/2018,UA,608,PDX,SFO,1110,93,1302,82,83,550,3,0,0,0,79
1/1/2018,UA,607,EWR,ATL,2110,7,2344,15,117,746,7,0,8,0,0
1/1/2018,UA,606,PIT,SFO,725,1,1002,19,307,2254,0,0,19,0,0
1/1/2018,UA,592,ORD,LAX,1605,117,1831,128,223,1744,20,0,11,0,97
1/1/2018,UA,578,ORD,BOS,1345,29,1707,21,105,867,0,21,0,0,0
1/1/2018,UA,569,RIC,ORD,630,35,746,30,103,642,30,0,0,0,0
1/1/2018,UA,568,EWR,ATL,1650,54,1924,44,120,746,0,44,0,0,0
1/1/2018,UA,565,IAD,SFO,2020,38,2332,17,309,2419,0,0,0,0,17
1/1/2018,UA,552,MCI,ORD,500,11,635,29,58,403,11,0,18,0,0
1/1/2018,UA,546,SAN,IAD,805,-2,1551,33,251,2253,0,0,33,0,0
1/1/2018,UA,541,SFO,EUG,1555,97,1733,91,66,451,8,0,0,0,83
1/1/2018,UA,526,DEN,BZN,2025,49,2212,31,77,524,1,0,0,0,30
1/1/2018,UA,522,SFO,PDX,2230,14,15,29,74,550,2,0,15,0,12
1/1/2018,UA,519,LGA,ORD,900,55,1043,34,119,733,34,0,0,0,0
1/1/2018,UA,500,IND,SFO,730,52,933,103,273,1943,52,0,51,0,0
1/1/2018,UA,497,EWR,SFO,830,14,1144,29,334,2565,14,0,15,0,0
1/1/2018,UA,497,SFO,SAN,1250,45,1424,36,66,447,36,0,0,0,0
1/1/2018,UA,492,SFO,LAS,1250,32,1428,25,63,414,25,0,0,0,0
1/1/2018,UA,490,ORD,LAX,620,11,859,40,232,1744,11,0,29,0,0
1/1/2018,UA,473,ORD,IND,2055,47,2259,41,37,177,41,0,0,0,0
1/1/2018,UA,472,DTW,SFO,1855,46,2054,29,264,2079,0,17,0,0,12
1/1/2018,UA,471,SFO,DTW,1040,18,1807,32,232,2079,18,0,14,0,0
1/1/2018,UA,470,ORD,SFO,910,40,1149,22,235,1846,0,22,0,0,0
1/1/2018,UA,467,EWR,MIA,1950,84,2259,96,159,1085,84,0,12,0,0
1/1/2018,UA,461,DEN,IAD,1237,6,1749,39,163,1452,6,0,33,0,0
1/1/2018,UA,459,ORD,DEN,1610,71,1754,62,126,888,11,0,0,0,51
1/1/2018,UA,455,AUS,SFO,1813,22,2016,22,219,1504,12,0,0,0,10
1/1/2018,UA,453,DEN,BOI,1914,14,2116,20,94,649,14,0,6,0,0
1/1/2018,UA,442,ORD,BDL,1750,185,2054,187,96,783,25,0,2,0,160
1/1/2018,UA,433,BOS,SFO,605,244,946,226,352,2704,226,0,0,0,0
1/1/2018,UA,424,IAD,SFO,845,2,1152,16,326,2419,0,0,16,0,0
1/1/2018,UA,420,DEN,LAX,1120,201,1301,173,114,862,0,0,0,0,173
1/1/2018,UA,418,LAX,SAN,841,-2,945,52,28,109,0,0,52,0,0
1/1/2018,UA,415,LAX,EWR,2240,17,638,21,261,2454,3,0,4,0,14
1/1/2018,UA,414,EWR,PBI,2133,102,29,83,143,1023,8,0,0,0,75
1/1/2018,UA,413,CLE,SFO,1910,67,2147,60,279,2161,20,0,0,0,40
1/1/2018,UA,411,ORD,LAX,1936,171,2211,135,216,1744,0,12,0,0,123
1/1/2018,UA,396,HNL,SFO,2200,7,449,18,277,2398,7,0,11,0,0
1/1/2018,UA,390,SFO,ORD,1619,56,2222,40,205,1846,40,0,0,0,0
